route_id,agency_id,route_short_name,route_long_name,route_type
285,1,285,SAO PAULO (TERMINAL METROPOLITANO SAO MATEUS) - SAO BERNARDO DO CAMPO  (TERMINAL METROPOLITANO FERRAZOPOLIS),3
286,1,286,SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE OESTE) - SAO BERNARDO DO CAMPO (TERMINAL METROPOLITANO FERRAZOPOLIS),3
287,1,287,SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE OESTE) - DIADEMA (TERMINAL METROPOLITANO DIADEMA),3
287E,1,287E,SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE LESTE) - DIADEMA (TERMINAL METROPOLITANO DIADEMA),3
287PIR,1,287PIR,SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE OESTE) - DIADEMA (TERMINAL METROPOLITANO PIRAPORINHA),3
287UBUS,1,287UBUS,SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE LESTE) - DIADEMA (PARADA CASTELO BRANCO),3
288,1,288,SAO BERNARDO DO CAMPO (TERMINAL METROPOLITANO FERRAZOPOLIS) - SAO PAULO (TERMINAL METROPOLITANO JABAQUARA),3
288PIR,1,288PIR,SAO BERNARDO DO CAMPO (TERMINAL METROPOLITANO FERRAZOPOLIS) - DIADEMA (TERMINAL METROPOLITANO PIRAPORINHA),3
289,1,289,DIADEMA (TERMINAL METROPOLITANO PIRAPORINHA) - SAO PAULO (TERMINAL METROPOLITANO JABAQUARA),3
290,1,290,DIADEMA (TERMINAL METROPOLITANO DIADEMA) - SAO PAULO (TERMINAL METROPOLITANO JABAQUARA),3
291,1,291,JANDIRA (JARDIM NOSSA SENHORA DE FATIMA) - SANTANA DE PARNAIBA (TERMINAL RODOVIARIO ALPHAVILLE),3
291BI1,1,291BI1,ITAPEVI (JARDIM BELA VISTA) - SANTANA DE PARNAIBA (RESIDENCIAL BURLE MARX),3
292,1,292,GUARULHOS (JARDIM ANGELICA) - SAO PAULO (METRO ARMENIA),3
292DV1,1,292DV1,GUARULHOS (JARDIM ANGELICA) - SAO PAULO (METRO ARMENIA),3
293,1,293,POA (TERMINAL RODOVIARIO PEDRO FAVA - CIDADE KEMEL) - SAO PAULO (ESTACAO CPTM GUAIANAZES),3
297,1,297,COTIA (CAUCAIA DO ALTO) - SAO PAULO (METRO MORUMBI),3
300,1,300,TABOAO DA SERRA (JARDIM SAO JUDAS TADEU) - SAO PAULO (METRO VILA SONIA),3
303,1,303,BARUERI (PARQUE IMPERIAL) - OSASCO (VILA YARA),3
305,1,305,DIADEMA (JARDIM PADRE ANCHIETA) - SAO BERNARDO DO CAMPO (JARDIM DO LAGO),3
307,1,307,CARAPICUIBA (TERMINAL METROPOLITANO CARAPICUIBA) - COTIA (KM 24 - RODOVIA RAPOSO TAVARES),3
307BI1,1,307BI1,CARAPICUIBA (TERMINAL METROPOLITANO CARAPICUIBA) - COTIA (VILA SANTO ANTONIO),3
