route_id,agency_id,route_short_name,route_long_name,route_type
077,1,077,GUARULHOS (VILA ANY) - SAO PAULO (METRO BRAS),3
078,1,078,EMBU DAS ARTES (PARQUE PIRAJUSSARA) - SAO PAULO (METRO VILA SONIA),3
079,1,079,TABOAO DA SERRA (JARDIM SAO JUDAS TADEU) - SAO PAULO (METRO VILA SONIA),3
080,1,080,OSASCO (JARDIM BONANCA) - SAO PAULO (PINHEIROS),3
082,1,082,PIRAPORA DO BOM JESUS (JARDIM BOM JESUS) - OSASCO (VILA YARA),3
082DV1,1,082DV1,PIRAPORA DO BOM JESUS (JARDIM BOM JESUS) - OSASCO (VILA YARA),3
084,1,084,FRANCO DA ROCHA (PARQUE VITORIA) - FRANCISCO MORATO (CENTRO),3
085,1,085,SANTANA DE PARNAIBA (PARQUE SANTANA) - SAO PAULO (LAPA),3
085VP1,1,085VP1,SANTANA DE PARNAIBA (PARQUE SANTANA) - OSASCO (ESTACAO),3
086,1,086,OSASCO (JARDIM VELOSO) - SAO PAULO (LAPA),3
086PR1,1,086PR1,CARAPICUIBA (PARQUE JANDAIA) - SAO PAULO (LAPA),3
087,1,087,SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE-LESTE) - SAO PAULO (METRO ITAQUERA),3
088,1,088,POA (TERMINAL RODOVIARIO PEDRO FAVA - CIDADE KEMEL) - SAO PAULO (ESTACAO CPTM  ITAIM PAULISTA),3
089,1,089,EMBU DAS ARTES (VILA ISIS CRISTINA) - SAO PAULO (METRO VILA SONIA),3
090,1,090,EMBU DAS ARTES (TERMINAL CASA BRANCA) - SAO PAULO (METRO VILA SONIA),3
094,1,094,GUARULHOS (COCAIA) - SAO PAULO (PENHA),3
095,1,095,GUARULHOS (TERMINAL METROPOLITANO TABOAO) - SAO PAULO (METRO BRAS),3
096,1,096,GUARULHOS (HAROLDO VELOSO) - SAO PAULO (METRO BRAS),3
100,1,100,GUARULHOS (PARQUE PRIMAVERA) - SAO PAULO (PENHA),3
101,1,101,SAO CAETANO DO SUL (VILA PROSPERIDADE) - SAO PAULO (VILA DAS OLARIAS),3
102,1,102,SAO CAETANO DO SUL (BAIRRO FUNDACAO) - SAO PAULO (IV CENTENARIO),3
103,1,103,GUARULHOS (PARQUE CONTINENTAL) - SAO PAULO (METRO PARADA INGLESA),3
104,1,104,GUARULHOS (BOM CLIMA) - SAO PAULO (METRO TUCURUVI),3
105,1,105,GUARULHOS (JARDIM MOREIRA) - SAO PAULO (METRO TUCURUVI),3
107,1,107,SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE-LESTE) - SAO PAULO (JARDIM ESTHER),3
110,1,110,GUARULHOS (COCAIA) - SAO PAULO (METRO TUCURUVI),3
111,1,111,GUARULHOS (JARDIM LEDA) - SAO PAULO (METRO PARADA INGLESA),3
112,1,112,DIADEMA (TERMINAL METROPOLITANO PIRAPORINHA) - SAO PAULO (SANTO AMARO),3
113,1,113,OSASCO (JARDIM SANTA FE) - SAO PAULO (LAPA),3
114,1,114,FERRAZ DE VASCONCELOS (PARQUE SAO FRANCISCO) - MOGI DAS CRUZES (ESTACAO CPTM ESTUDANTES),3
115,1,115,ARUJA (CENTRO) - GUARULHOS (JARDIM SANTA MENA),3
117,1,117,RIBEIRAO PIRES (TERMINAL RODOVIARIO DE RIBEIRAO PIRES) - SANTO ANDRE (ELCLOR),3
117EX1,1,117EX1,RIBEIRAO PIRES (TERMINAL RODOVIARIO DE RIBEIRAO PIRES) - SANTO ANDRE (PARANAPIACABA),3
120,1,120,CAJAMAR (VAU NOVO) - SAO PAULO  (PERUS),3
120PR1,1,120PR1,CAJAMAR (LAGO AZUL) - SAO PAULO (PERUS),3
121,1,121,GUARULHOS (TERMINAL METROPOLITANO TABOAO) - SAO PAULO (PENHA),3
122,1,122,BARUERI (PETROBRAS) - OSASCO (VILA YARA),3
123,1,123,SAO CAETANO DO SUL (TERMINAL RODOVIARIO NICOLAU DELIC) - SAO PAULO (TERMINAL SACOMA),3
124,1,124,EMBU DAS ARTES (JARDIM SANTO EDUARDO) - SAO PAULO (METRO VILA SONIA),3
125,1,125,EMBU DAS ARTES (JARDIM SAO MARCOS) - SAO PAULO (METRO VILA SONIA),3
125BI1,1,125BI1,EMBU DAS ARTES (TERMINAL ROTARY) - SAO PAULO (METRO VILA SONIA),3
128,1,128,EMBU DAS ARTES (JARDIM DO COLEGIO) - SAO PAULO (METRO VILA SONIA),3
130,1,130,JANDIRA (JARDIM NOSSA SENHORA DE FATIMA) - OSASCO (VILA YARA),3
134,1,134,BARUERI (PARQUE VIANA) - OSASCO (CENTRO),3
137,1,137,GUARULHOS (JARDIM FORTALEZA) - SAO PAULO (METRO ARMENIA),3
138,1,138,OSASCO (MUNHOZ JUNIOR) - SAO PAULO (METRO VILA MADALENA),3
139,1,139,SAO PAULO (SAO MIGUEL PAULISTA) - GUARULHOS (TERMINAL METROPOLITANO CECAP),3
140,1,140,SAO CAETANO DO SUL (TERMINAL RODOVIARIO NICOLAU DELIC) - SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE-LESTE),3
141,1,141,SANTA ISABEL (MONTE SERRAT) - MOGI DAS CRUZES (ESTACAO CPTM ESTUDANTES),3
145,1,145,SUZANO (CIDADE EDSON) - SAO PAULO (ESTACAO CPTM ITAIM PAULISTA),3
147,1,147,SAO CAETANO DO SUL (TERMINAL RODOVIARIO NICOLAU DELIC) - SAO BERNARDO DO CAMPO (JARDIM JOAO DE BARRO),3
148,1,148,SAO CAETANO DO SUL (TERMINAL RODOVIARIO NICOLAU DELIC) - SAO BERNARDO DO CAMPO (JARDIM LEBLON),3
149,1,149,SAO CAETANO DO SUL (TERMINAL RODOVIARIO DOUTOR NICOLAU DELIC) - SAO BERNARDO DO CAMPO (VILA SAO JOSE),3
151,1,151,SANTO ANDRE (JARDIM CAMBUI) - SAO PAULO (FABRICA TROL),3
152,1,152,SAO BERNARDO DO CAMPO (AREA VERDE) - SAO PAULO (TERMINAL SACOMA),3
152DV1,1,152DV1,SAO BERNARDO DO CAMPO (TERMINAL METROPOLITANO FERRAZOPOLIS) - SAO PAULO (TERMINAL SACOMA),3
153,1,153,SAO BERNARDO DO CAMPO (CONJUNTO TERRA NOVA II) - SAO PAULO (TERMINAL SACOMA),3
154,1,154,SAO BERNARDO DO CAMPO (COOPERATIVA) - SAO PAULO (TERMINAL SACOMA),3
156,1,156,DIADEMA (ELDORADO) - SAO BERNARDO DO CAMPO (BAETA NEVES),3
157,1,157,MAUA (SILVIA MARIA) - SANTO ANDRE (TERMINAL RODOVIARIO DE PREFEITO SALADINO),3
158,1,158,MAUA (JARDIM ZAIRA) - SAO PAULO (TERMINAL SACOMA),3
158BI1,1,158BI1,MAUA (JARDIM ZAIRA) - SAO CAETANO DO SUL (TERMINAL RODOVIARIO NICOLAU DELIC),3
160,1,160,MAUA (JARDIM ADELINA) - SAO PAULO (TERMINAL SACOMA),3
160EX1,1,160EX1,MAUA  (JARDIM ITAPEVA) - SAO CAETANO DO SUL (TERMINAL RODOVIARIO NICOLAU DELIC),3
163,1,163,GUARULHOS (JD. PALMIRA - PARQUE CONTINENTAL) - SAO PAULO (METRO TUCURUVI),3
165,1,165,RIBEIRAO PIRES (TERMINAL RODOVIARIO DE RIBEIRAO PIRES) - SAO BERNARDO DO CAMPO (TERMINAL PACO - SAO BERNARDO),3
165EX1,1,165EX1,RIO GRANDE DA SERRA (CENTRO) - SAO BERNARDO DO CAMPO (TERMINAL PACO - SAO BERNARDO),3
166,1,166,ARUJA (CENTRO) - SAO PAULO (METRO ARMENIA),3
166BI1,1,166BI1,GUARULHOS (JARDIM ALAMO) - SAO PAULO (METRO ARMENIA),3
167,1,167,GUARULHOS (VILA CARMELA) - SAO PAULO (METRO ARMENIA),3
167PR1,1,167PR1,GUARULHOS (PARQUE RESIDENCIAL BAMBI) - SAO PAULO (METRO ARMENIA),3
170,1,170,SAO CAETANO DO SUL (ESTACAO) - SAO PAULO (JARDIM TIETE),3
171,1,171,SAO CAETANO DO SUL (ESTACAO) - SAO PAULO (VILA INDUSTRIAL),3
173,1,173,SANTO ANDRE (JARDIM SANTA CRISTINA) - SAO PAULO (JARDIM PLANALTO),3
175,1,175,GUARULHOS (COCAIA) - SAO PAULO (METRO ARMENIA),3
177,1,177,RIBEIRAO PIRES (TERMINAL RODOVIARIO DE RIBEIRAO PIRES) - SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE-LESTE),3
178,1,178,EMBU DAS ARTES (JARDIM VAZAME) - SAO PAULO (METRO CAMPO LIMPO),3
178BI1,1,178BI1,EMBU DAS ARTES (TERMINAL ROTARY) - SAO PAULO (METRO CAMPO LIMPO),3
180,1,180,OSASCO (JARDIM PRIMEIRO DE MAIO) - SAO PAULO (LAPA),3
181,1,181,CARAPICUIBA (PARQUE SANTA TEREZA) - SAO PAULO (LAPA),3
182,1,182,SAO BERNARDO DO CAMPO (ACAMPAMENTO DOS ENGENHEIROS) - DIADEMA (TERMINAL METROPOLITANO DIADEMA),3
190,1,190,TABOAO DA SERRA (JARDIM SAO JUDAS TADEU) - SAO PAULO (METRO BUTANTA),3
191,1,191,TABOAO DA SERRA (JARDIM SAINT MORITZ) - SAO PAULO (METRO VILA SONIA),3
193,1,193,EMBU DAS ARTES (JARDIM SANTA TEREZA) - SAO PAULO (METRO CAPAO REDONDO),3
194,1,194,SAO CAETANO DO SUL (TERMINAL RODOVIARIO NICOLAU DELIC) - SANTO ANDRE (CATA PRETA),3
195,1,195,SAO BERNARDO DO CAMPO (TERMINAL METROPOLITANO FERRAZOPOLIS) - DIADEMA (TERMINAL METROPOLITANO PIRAPORINHA),3
196,1,196,SAO BERNARDO DO CAMPO (PARQUE SELECTA) - SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE-OESTE),3
197,1,197,FRANCISCO MORATO (PARQUE PAULISTA) - SAO PAULO (LAPA),3
198,1,198,CAIEIRAS (LARANJEIRAS) - SAO PAULO (LAPA),3
199,1,199,FRANCO DA ROCHA (JARDIM LUCIANA) - SAO PAULO (PERUS),3
19CELESTE,1,19CELESTE,BOSQUE MAIA (GUARULHOS) - ANHANGABAU,3
200,1,200,MOGI DAS CRUZES (TERMINAL RODOVIARIO GERALDO SCAVONE) - SAO PAULO (TERMINAL RODOVIARIO TIETE),3
201,1,201,MOGI DAS CRUZES (TERMINAL RODOVIARIO GERALDO SCAVONE) - SAO PAULO (TERMINAL RODOVIARIO TIETE),3
202,1,202,OSASCO (JARDIM ADALGISA) - SAO PAULO (PIRITUBA),3
203,1,203,OSASCO (BEL JARDIM) - SAO PAULO (LAPA),3
204,1,204,OSASCO (MUNHOZ JUNIOR) - SAO PAULO (LAPA),3
206,1,206,GUARAREMA (CENTRO) - SAO PAULO (TERMINAL RODOVIARIO TIETE),3
208,1,208,GUARAREMA (TERMINAL RODOVIARIO DE GUARAREMA) - MOGI DAS CRUZES (TERMINAL RODOVIARIO GERALDO SCAVONE),3
211,1,211,OSASCO (VILA MENCK) - SAO PAULO (PINHEIROS),3
213,1,213,TABOAO DA SERRA (JARDIM SAO JUDAS TADEU) - OSASCO (TERMINAL LARGO DE OSASCO),3
214,1,214,SUZANO (CENTRO) - SAO PAULO (TERMINAL RODOVIARIO TIETE),3
215,1,215,RIBEIRAO PIRES (TERMINAL RODOVIARIO DE RIBEIRAO PIRES) - SUZANO (CENTRO),3
216,1,216,FRANCISCO MORATO (JARDIM DA ALEGRIA) - FRANCO DA ROCHA (CENTRO),3
217,1,217,SAO BERNARDO DO CAMPO (CONJUNTO TERRA NOVA II) - SAO PAULO (TERMINAL RODOVIARIO TIETE),3
218,1,218,SAO BERNARDO DO CAMPO (AREA VERDE) - SAO PAULO (TERMINAL RODOVIARIO TIETE),3
218EX1,1,218EX1,SAO BERNARDO DO CAMPO (TERMINAL METROPOLITANO FERRAZOPOLIS) - SAO PAULO (GLICERIO),3
219,1,219,SANTA ISABEL (MONTE SERRAT) - SAO PAULO (METRO ARMENIA),3
219BI1,1,219BI1,SANTA ISABEL (MONTE SERRAT) - GUARULHOS (CENTRO),3
223,1,223,CARAPICUIBA (COHAB V) - OSASCO (VILA YARA),3
226,1,226,EMBU-GUACU (CHACARA FLORIDA) - SAO PAULO (TERMINAL ESTACAO VARGINHA),3
227,1,227,GUARULHOS (JARDIM LEBLON) - SAO PAULO (METRO ARMENIA),3
228,1,228,BARUERI (ALPHAVILLE 3 / BRADESCO) - SAO PAULO (LAPA),3
229,1,229,OSASCO (JARDIM ACUCARA) - SAO PAULO (LAPA),3
230,1,230,BARUERI (ALPHAVILLE) - OSASCO (VILA YARA),3
231,1,231,OSASCO (JARDIM ELVIRA) - SAO PAULO (METRO ARMENIA),3
231BI1,1,231BI1,OSASCO (MUNHOZ JUNIOR) - SAO PAULO (METRO ARMENIA),3
236,1,236,DIADEMA (TERMINAL METROPOLITANO PIRAPORINHA) - SAO PAULO (TERMINAL SACOMA),3
237,1,237,ITAPECERICA DA SERRA (JARDIM SAO PEDRO) - SAO PAULO (METRO CAPAO REDONDO),3
238,1,238,SAO BERNARDO DO CAMPO (PARQUE LOS ANGELES) - SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE-OESTE),3
239,1,239,ITAPECERICA DA SERRA (JARDIM SAO MARCOS) - COTIA (TERMINAL METROPOLITANO COTIA),3
240,1,240,MAIRIPORA (TERMINAL RODOVIARIO CIDADE BONITA SIGUEMI AIACYDA) - SAO PAULO (TERMINAL RODOVIARIO DO TIETE),3
241,1,241,TABOAO DA SERRA (PARQUE JACARANDA) - SAO PAULO (METRO VILA SONIA),3
242,1,242,ITAQUAQUECETUBA (JARDIM PINHEIRINHO) - SAO PAULO (METRO CARRAO),3
242BI1,1,242BI1,ITAQUAQUECETUBA (PEQUENO CORACAO) - SAO PAULO (METRO CARRAO),3
244,1,244,OSASCO (CENTRO) - COTIA (RODOVIA RAPOSO TAVARES - KM 21),3
244EX1,1,244EX1,OSASCO (TERMINAL LUIZ BORTOLOSSO) - COTIA (RODOVIA RAPOSO TAVARES - KM 21),3
245,1,245,TABOAO DA SERRA (JARDIM SAO JUDAS TADEU) - SAO PAULO (METRO CAMPO LIMPO),3
246,1,246,SANTANA DE PARNAIBA (JARDIM SAO LUIS) - OSASCO (VILA YARA),3
246EX1,1,246EX1,SANTANA DE PARNAIBA (JARDIM SAO LUIS) - BARUERI (CENTRO),3
247,1,247,BARUERI (ALDEIA DA SERRA) - COTIA (TERMINAL METROPOLITANO DE COTIA),3
247EX1,1,247EX1,JANDIRA (JARDIM ALVORADA) - COTIA (TERMINAL METROPOLITANO DE COTIA),3
247EX2,1,247EX2,SANTANA DE PARNAIBA (CURURUQUARA) - JANDIRA (CENTRO),3
248,1,248,GUARULHOS (PARQUE SANTOS DUMONT) - SAO PAULO (METRO PENHA),3
249,1,249,GUARULHOS (JARDIM PAULISTA) - SAO PAULO (METRO PENHA),3
250,1,250,GUARULHOS (COCAIA) - SAO PAULO (METRO PENHA),3
252,1,252,GUARULHOS (JARDIM CUMBICA) - SAO PAULO (METRO CARRAO),3
253,1,253,GUARULHOS (JARDIM PARAISO) - SAO PAULO (METRO PENHA),3
254,1,254,SAO CAETANO DO SUL (TERMINAL RODOVIARIO NICOLAU DELIC) - DIADEMA (TERMINAL METROPOLITANO DIADEMA),3
254DV1,1,254DV1,SAO CAETANO DO SUL (TERMINAL RODOVIARIO NICOLAU DELIC) - DIADEMA (TERMINAL METROPOLITANO DIADEMA),3
255,1,255,DIADEMA (JARDIM PADRE ANCHIETA) - SAO BERNARDO DO CAMPO (TERMINAL PACO - SAO BERNARDO),3
256,1,256,COTIA (CAUCAIA DO ALTO) - COTIA (PORTAO),3
