stop_id,stop_name,stop_lat,stop_lon
92,"Av. Brg. Faria Lima, 1677",-23.714645,-46.551577
94,"Lauro Gomes - Centro, São Bernardo do Campo - SP, 09720-010, Brasil",-23.710646,-46.552117
101,"Av Getulio Vargas 498 - Baeta Neves, São Bernardo do Campo - SP, 09751-250, Brasil",-23.695531,-46.544971
103,"Av. Getúlio Vargas, 1026 - Baeta Neves, São Bernardo do Campo - SP, 09751-250, Brasil",-23.691927,-46.54378
104,"Rua Giacinto Tognato 484592 - Baeta Neves, São Bernardo do Campo - SP, 09751-400, Brasil",-23.69293,-46.541321
105,"R. Giacinto Tognato, 955 - Baeta Neves, São Bernardo do Campo - SP, 09760-371, Brasil",-23.696434,-46.540662
106,"Rua Giacinto Tognato 1560 - Baeta Neves, São Bernardo do Campo - SP, 09760-372, Brasil",-23.700466,-46.537125
107,"Rua Giacinto Tognato 1814 - Baeta Neves, São Bernardo do Campo - SP, 09760-372, Brasil",-23.701795,-46.535659
109,"Av. Taioca, 2920 - Jardim Las Vegas, Santo André - SP, 09182-400, Brasil",-23.701578,-46.529896
110,"Rua Otávio Cândido, 510 - Jardim Las Vegas, Santo André - SP, 09182-710, Brasil",-23.696692,-46.528095
111,"Rua Lavínia, 189 - Jardim Alvorada, Santo André - SP, 09182-200, Brasil",-23.697069,-46.526404
112,"Rua Prof. Antônio Seixas Leite Ribeiro, 416 - Jardim Alvorada, Santo André - SP, 09180-110, Brasil",-23.699704,-46.523731
113,"R. Antônio Seixas Leite Ribeiro, 435 - Jardim Alvorada, Santo André - SP, 09180-110, Brasil",-23.699908,-46.523394
114,"Rua Dr. Nelo Rosate, 103 - Jardim Alvorada, Santo André - SP, 09180-090, Brasil",-23.69798,-46.523657
115,"Rua Dr. Nelo Rosate, 69 - Jardim Alvorada, Santo André - SP, 09180-090, Brasil",-23.696561,-46.524445
119,"Rua Aluísio Coimbra, 352 - Jardim Moncoes, Santo André - SP, 09180-290, Brasil",-23.689766,-46.53017
