METRÔ DE SÃO PAULO;;;;;;;;;;;;;;;;;;;;;;; 
INFORMAÇÕES SOBRE A DEMANDA - 2023;;;;;;;;;;;;;;;;;;;;;;;
Passageiros Transportados por Linha¹ ² (em milhares);;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
LINHA 1-AZUL;;;;;;;LINHA 2-VERDE;;;;;;;;;;;;;;;;
Mês;Total;MDU;MSA;MDO;MAX;;Mês;Total;MDU;MSA;MDO;MAX;;;;;;;;;;;
Jan;23.408;891;623;363;982;;Jan;13.130;519;285;180;588;;;;;;;;;;;
Fev;23.465;1.025;660;375;1.075;;Fev;13.364;609;311;196;643;;;;;;;;;;;
Mar;27.945;1.087;692;384;1.120;;Mar;16.048;649;325;201;678;;;;;;;;;;;
Abr;25.545;1.091;639;375;1.130;;Abr;14.544;649;299;189;671;;;;;;;;;;;
Mai;28.627;1.086;701;383;1.117;;Mai;16.609;650;332;196;670;;;;;;;;;;;
Jun;26.965;1.060;689;396;1.152;;Jun;15.404;630;321;211;676;;;;;;;;;;;
Jul;26.252;996;684;382;1.037;;Jul;15.113;597;317;198;624;;;;;;;;;;;
Ago;29.284;1.089;686;370;1.133;;Ago;17.441;667;329;195;703;;;;;;;;;;;
Set;27.791;1.124;690;400;1.174;;Set;16.148;682;333;208;704;;;;;;;;;;;
Out;27.047;1.119;696;365;1.183;;Out;15.814;682;324;187;718;;;;;;;;;;;
Nov;26.516;1.147;709;433;1.183;;Nov;15.357;698;331;212;723;;;;;;;;;;;
Dez;26.359;1.035;696;460;1.183;;Dez;14.935;613;309;232;715;;;;;;;;;;;
2023;319.205;1.063;680;391;1.183;;2023;183.906;637;318;200;723;;;;;;;;;;;
¹ Corresponde à soma das entradas pela linha de bloqueios com as transferências entre linhas nas estações Sé, Paraíso, Ana Rosa e Vila Prudente;;;;;;;;;;;;;;;;;;;;;;;
² Indicador influenciado pela mudança nos hábitos de viagem dos passageiros, em decorrência da pandemia de COVID-19.;;;;;;;;;;;;;;;;;;;;;;;
"MDU - Média dos Dias Úteis; MSA - Média dos Sábados; MDO - Média dos Domingos; MAX - Máxima Diária";;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
LINHA 3-VERMELHA;;;;;;;LINHA 15-PRATA;;;;;;;;;;;;;;;;
Mês;Total;MDU;MSA;MDO;MAX;;Mês;Total;MDU;MSA;MDO;MAX;;;;;;;;;;;
Jan;23.278;887;603;372;978;;Jan;2.519;99;57;34;114;;;;;;;;;;;
Fev;23.296;1.012;657;395;1.065;;Fev;2.576;117;61;36;125;;;;;;;;;;;
Mar;27.409;1.067;676;387;1.096;;Mar;2.876;120;65;35;128;;;;;;;;;;;
Abr;25.011;1.066;627;371;1.157;;Abr;2.827;124;63;37;127;;;;;;;;;;;
Mai;28.000;1.059;685;396;1.085;;Mai;3.222;124;72;40;129;;;;;;;;;;;
Jun;26.496;1.033;691;422;1.122;;Jun;2.880;122;48;30;126;;;;;;;;;;;
Jul;25.822;981;667;379;1.012;;Jul;2.784;115;44;30;120;;;;;;;;;;;
Ago;28.613;1.063;669;374;1.111;;Ago;3.257;124;66;36;131;;;;;;;;;;;
Set;27.103;1.097;671;398;1.130;;Set;3.052;128;66;38;134;;;;;;;;;;;
Out;26.243;1.081;675;366;1.153;;Out;2.879;127;49;32;135;;;;;;;;;;;
Nov;26.110;1.114;707;488;1.136;;Nov;2.866;130;67;40;135;;;;;;;;;;;
Dez;26.218;1.015;726;487;1.146;;Dez;2.752;115;52;37;132;;;;;;;;;;;
2023;313.600;1.040;671;403;1.157;;2023;34.490;120;59;35;135;;;;;;;;;;;
¹ Corresponde à soma das entradas pela linha de bloqueios com as transferências entre linhas nas estações Sé, Paraíso, Ana Rosa e Vila Prudente;;;;;;;;;;;;;;;;;;;;;;;
² Indicador influenciado pela mudança nos hábitos de viagem dos passageiros, em decorrência da pandemia de COVID-19.;;;;;;;;;;;;;;;;;;;;;;;
"MDU - Média dos Dias Úteis; MSA - Média dos Sábados; MDO - Média dos Domingos; MAX - Máxima Diária";;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
REDE;;;;;;;;;;;;;;;;;;;;;;;
